preferred_task,quality_score,title,description,type_of_task,priority_level,due_date,workload
3D Model,0.71,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Construction Document,High,2025-05-08,9
3D Render,0.64,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Partition Plan,High,2025-05-02,2
Floor Plan,0.78,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Lighting & Fixture Plan,High,2025-04-20,7
Schematic Design,0.64,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Lighting & Fixture Plan,High,2025-04-19,3
Conceptual Design,0.6,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Finish Schedule,Low,2025-05-01,9
Technical Specification,0.78,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Construction Document,High,2025-04-30,5
Section Drawing,0.67,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Elevation Drawing,Neutral,2025-05-03,5
Construction Document,0.71,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Lighting & Fixture Plan,Neutral,2025-04-21,9
Furniture Layout Plan,0.76,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Floor Plan,Low,2025-05-07,8
Material Board,0.75,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Permit Drawing,Low,2025-04-11,2
Virtual Reality,0.71,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Design Development,Neutral,2025-04-15,4
Landscape Plan,0.83,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Partition Plan,High,2025-04-23,10
Permit Drawing,0.71,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Conceptual Design,High,2025-04-26,2
Interior Layout Plan,0.61,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Floor Plan,Neutral,2025-05-06,7
Site Plan,0.99,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Others,Neutral,2025-05-09,1
3D Model,0.92,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Construction Document,Low,2025-04-23,5
Site Plan,0.66,Structural Coordination,Coordinate with the structural engineer for beam placements.,Interior Layout Plan,Low,2025-05-05,2
3D Render,0.65,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,3D Render,Low,2025-05-04,5
3D Model,0.79,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Elevation Drawing,High,2025-04-16,7
Design Development,0.79,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Custom Millwork & Joinery Drawing,Neutral,2025-04-29,9
Landscape Plan,0.86,Technical Specifications,Compile technical specifications for the construction phase.,Floor Plan,Neutral,2025-04-28,1
Partition Plan,0.81,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Hardscape Plan,Neutral,2025-04-21,2
Construction Document,1.0,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Hardscape Plan,Low,2025-04-25,7
Lighting & Fixture Plan,0.81,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Finish Schedule,High,2025-04-26,9
Schematic Design,0.85,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Section Drawing,Neutral,2025-04-11,8
Elevation Drawing,0.84,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Lighting & Fixture Plan,Low,2025-04-24,10
Conceptual Design,0.86,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Interior Layout Plan,Neutral,2025-05-01,9
Schematic Design,0.73,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Custom Millwork & Joinery Drawing,High,2025-04-18,3
Custom Millwork & Joinery Drawing,0.88,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Technical Specification,High,2025-04-30,6
Reflected Ceiling Plan,0.8,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Virtual Reality,High,2025-05-09,3
Virtual Reality,0.89,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Section Drawing,High,2025-05-02,8
Technical Specification,0.74,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Reflected Ceiling Plan,Low,2025-04-28,3
3D Render,0.82,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Interior Layout Plan,Low,2025-04-15,0
Finish Schedule,0.78,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Others,Neutral,2025-04-30,2
Design Development,0.61,Technical Specifications,Compile technical specifications for the construction phase.,Conceptual Design,Low,2025-05-10,0
Virtual Reality,0.93,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Hardscape Plan,Neutral,2025-05-08,5
Floor Plan,0.94,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Elevation Drawing,Low,2025-04-16,10
3D Model,0.82,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Elevation Drawing,High,2025-04-12,9
3D Model,0.8,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Construction Document,High,2025-04-16,5
Site Plan,0.98,Structural Coordination,Coordinate with the structural engineer for beam placements.,Permit Drawing,High,2025-04-13,5
Roof Plan,0.99,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Floor Plan,Neutral,2025-04-29,3
Permit Drawing,0.93,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Landscape Plan,Low,2025-04-28,7
Roof Plan,0.71,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Virtual Reality,High,2025-05-02,7
3D Model,0.98,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Site Plan,Neutral,2025-04-30,7
Floor Plan,0.85,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Virtual Reality,Neutral,2025-04-27,0
Design Development,0.91,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Elevation Drawing,Low,2025-04-28,10
Roof Plan,0.97,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Furniture Layout Plan,High,2025-04-20,5
Lighting & Fixture Plan,0.62,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Roof Plan,Low,2025-05-08,2
Floor Plan,0.68,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Partition Plan,High,2025-04-28,7
Interior Layout Plan,0.87,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Construction Document,High,2025-04-12,8
Landscape Plan,0.87,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Reflected Ceiling Plan,Low,2025-05-03,8
Reflected Ceiling Plan,0.97,Technical Specifications,Compile technical specifications for the construction phase.,Material Board,High,2025-04-23,8
Partition Plan,0.61,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Landscape Plan,Low,2025-05-02,0
Roof Plan,0.78,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Landscape Plan,High,2025-04-12,3
General Specification,0.65,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Finish Schedule,Neutral,2025-04-19,7
Section Drawing,0.91,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Schematic Design,Low,2025-04-15,6
Partition Plan,0.91,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Schematic Design,Low,2025-05-07,10
Hardscape Plan,0.96,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Partition Plan,Low,2025-04-24,3
General Specification,0.9,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Virtual Reality,High,2025-05-04,8
Construction Document,0.89,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Lighting & Fixture Plan,High,2025-05-07,2
Partition Plan,0.7,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Partition Plan,Neutral,2025-04-26,6
Door & Window Schedule,0.79,Technical Specifications,Compile technical specifications for the construction phase.,Zoning & Building Code Compliance,High,2025-05-09,0
Section Drawing,0.71,Structural Coordination,Coordinate with the structural engineer for beam placements.,Lighting & Fixture Plan,Low,2025-04-23,3
Lighting & Fixture Plan,0.63,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Technical Specification,Low,2025-04-12,0
Design Development,0.71,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Material Board,Low,2025-04-16,1
Design Development,0.83,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Schematic Design,Neutral,2025-04-19,9
Floor Plan,0.72,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Interior Layout Plan,High,2025-05-04,4
Construction Document,0.61,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Section Drawing,High,2025-04-16,9
Virtual Reality,0.75,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Schematic Design,High,2025-04-13,10
Floor Plan,0.65,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Reflected Ceiling Plan,Low,2025-04-12,10
Schematic Design,0.84,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Material Board,Low,2025-05-10,8
Section Drawing,0.67,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Material Board,High,2025-05-07,0
Conceptual Design,0.9,3D Model Development,Create a detailed 3D model for the client’s new residential project.,3D Model,Neutral,2025-05-05,8
Site Plan,0.96,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Interior Layout Plan,High,2025-05-03,1
Others,0.67,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Lighting & Fixture Plan,Neutral,2025-04-12,8
Design Development,0.91,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,3D Render,High,2025-05-01,7
Technical Specification,0.96,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Conceptual Design,Neutral,2025-04-21,6
Reflected Ceiling Plan,0.74,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Zoning & Building Code Compliance,Low,2025-05-10,4
Material Board,0.69,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Landscape Plan,Low,2025-05-07,3
Reflected Ceiling Plan,0.79,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Zoning & Building Code Compliance,Low,2025-05-03,3
Material Board,0.62,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,3D Render,Low,2025-04-20,1
Section Drawing,0.89,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Door & Window Schedule,High,2025-04-20,10
Landscape Plan,0.67,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Elevation Drawing,Low,2025-05-04,8
Site Plan,0.78,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Conceptual Design,High,2025-05-01,8
3D Model,0.76,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Schematic Design,High,2025-04-15,1
Section Drawing,0.88,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Roof Plan,High,2025-05-10,6
Conceptual Design,0.65,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Partition Plan,Neutral,2025-05-09,10
General Specification,0.83,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Roof Plan,High,2025-05-07,1
Furniture Layout Plan,0.7,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Design Development,Neutral,2025-05-07,8
General Specification,1.0,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Virtual Reality,High,2025-05-09,9
Furniture Layout Plan,0.65,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Custom Millwork & Joinery Drawing,Low,2025-05-05,1
Construction Document,0.92,Construction Documentation,Compile detailed construction drawings for city permit approval.,Construction Document,Low,2025-04-24,10
Interior Layout Plan,0.64,Construction Documentation,Compile detailed construction drawings for city permit approval.,Furniture Layout Plan,Low,2025-05-04,1
Roof Plan,0.63,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Door & Window Schedule,Neutral,2025-04-18,8
Reflected Ceiling Plan,1.0,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Custom Millwork & Joinery Drawing,High,2025-04-23,10
Furniture Layout Plan,0.76,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Material Board,Low,2025-04-14,4
3D Render,0.79,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Lighting & Fixture Plan,Low,2025-04-12,1
Partition Plan,0.64,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Elevation Drawing,Low,2025-04-21,10
Door & Window Schedule,0.6,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,3D Model,Low,2025-05-06,5
Virtual Reality,0.69,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Virtual Reality,Low,2025-04-15,9
Construction Document,0.73,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Virtual Reality,High,2025-05-04,6
3D Render,0.78,Technical Specifications,Compile technical specifications for the construction phase.,General Specification,Low,2025-04-11,6
Partition Plan,0.94,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,3D Model,Low,2025-04-15,6
3D Render,0.74,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Lighting & Fixture Plan,High,2025-05-04,4
Virtual Reality,0.95,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Reflected Ceiling Plan,Neutral,2025-04-18,1
Site Plan,0.84,Construction Documentation,Compile detailed construction drawings for city permit approval.,Section Drawing,Neutral,2025-04-27,1
Material Board,0.74,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Design Development,Low,2025-04-24,8
Zoning & Building Code Compliance,0.63,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Technical Specification,Low,2025-04-18,3
Section Drawing,0.84,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Section Drawing,Low,2025-04-29,6
Permit Drawing,0.71,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Design Development,High,2025-04-19,5
Conceptual Design,0.72,Construction Documentation,Compile detailed construction drawings for city permit approval.,Material Board,Neutral,2025-04-29,5
Elevation Drawing,0.83,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,3D Render,Low,2025-05-01,1
Landscape Plan,0.86,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Door & Window Schedule,High,2025-04-17,0
Finish Schedule,0.67,Construction Documentation,Compile detailed construction drawings for city permit approval.,Hardscape Plan,Neutral,2025-04-19,10
Reflected Ceiling Plan,0.89,Structural Coordination,Coordinate with the structural engineer for beam placements.,Hardscape Plan,Low,2025-05-06,9
Door & Window Schedule,0.72,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Door & Window Schedule,High,2025-04-21,8
Technical Specification,0.97,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Roof Plan,Low,2025-05-01,6
Interior Layout Plan,0.83,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Partition Plan,Neutral,2025-05-05,7
Floor Plan,0.82,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Zoning & Building Code Compliance,Neutral,2025-05-08,6
Conceptual Design,0.62,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Elevation Drawing,High,2025-05-04,4
Roof Plan,0.9,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Site Plan,High,2025-04-25,7
Reflected Ceiling Plan,0.69,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Roof Plan,Neutral,2025-05-09,4
Partition Plan,0.83,Landscape Design Refinement,Enhance the planting layout for the residential garden.,General Specification,Neutral,2025-05-05,5
Construction Document,0.77,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,3D Model,High,2025-05-02,7
Custom Millwork & Joinery Drawing,0.71,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Finish Schedule,Neutral,2025-04-25,10
Custom Millwork & Joinery Drawing,0.61,Permit Drawing Submission,Prepare and submit permit drawings for approval.,3D Render,High,2025-05-09,7
Elevation Drawing,0.95,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,3D Render,Low,2025-04-23,10
Zoning & Building Code Compliance,0.75,3D Model Development,Create a detailed 3D model for the client’s new residential project.,General Specification,Neutral,2025-04-19,6
3D Model,0.85,Permit Drawing Submission,Prepare and submit permit drawings for approval.,3D Render,Low,2025-05-06,9
Material Board,0.75,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Landscape Plan,High,2025-04-19,1
Others,1.0,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Elevation Drawing,Low,2025-04-13,6
Permit Drawing,0.89,Technical Specifications,Compile technical specifications for the construction phase.,Technical Specification,Low,2025-04-17,0
Interior Layout Plan,0.7,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Schematic Design,Low,2025-05-01,7
General Specification,0.93,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Elevation Drawing,Neutral,2025-04-27,7
Permit Drawing,0.84,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Section Drawing,Neutral,2025-05-05,2
Technical Specification,0.82,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Design Development,Neutral,2025-04-22,8
Elevation Drawing,0.87,Structural Coordination,Coordinate with the structural engineer for beam placements.,Zoning & Building Code Compliance,Low,2025-04-21,8
Construction Document,0.94,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Material Board,Low,2025-04-17,6
Site Plan,0.96,Technical Specifications,Compile technical specifications for the construction phase.,Custom Millwork & Joinery Drawing,Low,2025-05-07,8
Interior Layout Plan,0.87,Technical Specifications,Compile technical specifications for the construction phase.,Landscape Plan,High,2025-05-04,5
Technical Specification,0.99,Construction Documentation,Compile detailed construction drawings for city permit approval.,Conceptual Design,Low,2025-04-30,9
Interior Layout Plan,0.76,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,3D Model,Low,2025-04-24,0
Zoning & Building Code Compliance,0.9,Construction Documentation,Compile detailed construction drawings for city permit approval.,Interior Layout Plan,Low,2025-05-10,5
Custom Millwork & Joinery Drawing,0.97,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Design Development,Low,2025-04-14,2
Virtual Reality,0.93,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,3D Model,Low,2025-05-10,9
Floor Plan,0.93,Technical Specifications,Compile technical specifications for the construction phase.,3D Render,Neutral,2025-05-01,4
Reflected Ceiling Plan,0.85,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Landscape Plan,Neutral,2025-04-22,4
Partition Plan,0.74,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Zoning & Building Code Compliance,Low,2025-04-13,9
Hardscape Plan,0.83,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Technical Specification,Neutral,2025-04-22,4
Hardscape Plan,0.83,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Elevation Drawing,Low,2025-04-15,1
Zoning & Building Code Compliance,0.74,Technical Specifications,Compile technical specifications for the construction phase.,3D Render,High,2025-05-04,4
Design Development,0.75,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Interior Layout Plan,High,2025-05-04,10
Partition Plan,0.83,Structural Coordination,Coordinate with the structural engineer for beam placements.,Conceptual Design,High,2025-04-15,5
Hardscape Plan,0.62,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Construction Document,Low,2025-05-04,5
Elevation Drawing,0.7,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Virtual Reality,High,2025-05-04,4
Section Drawing,0.61,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Partition Plan,Neutral,2025-05-09,2
Door & Window Schedule,0.72,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Hardscape Plan,Low,2025-04-19,5
Door & Window Schedule,0.8,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Finish Schedule,High,2025-04-29,10
Floor Plan,0.66,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,3D Render,High,2025-05-03,7
3D Model,0.79,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Site Plan,Low,2025-05-04,7
Construction Document,0.8,Structural Coordination,Coordinate with the structural engineer for beam placements.,Reflected Ceiling Plan,High,2025-04-17,1
Construction Document,0.68,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Material Board,Neutral,2025-05-03,8
Custom Millwork & Joinery Drawing,0.89,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Design Development,High,2025-05-09,0
Conceptual Design,0.94,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Roof Plan,Low,2025-04-18,5
Finish Schedule,0.91,Construction Documentation,Compile detailed construction drawings for city permit approval.,Site Plan,Neutral,2025-05-07,2
Virtual Reality,0.92,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Furniture Layout Plan,High,2025-04-30,5
Permit Drawing,0.63,Technical Specifications,Compile technical specifications for the construction phase.,Reflected Ceiling Plan,High,2025-05-07,1
Reflected Ceiling Plan,0.99,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Material Board,Neutral,2025-04-21,9
Floor Plan,0.87,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Material Board,Low,2025-04-23,10
Roof Plan,0.9,Permit Drawing Submission,Prepare and submit permit drawings for approval.,3D Render,Neutral,2025-05-04,9
Custom Millwork & Joinery Drawing,0.73,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Door & Window Schedule,Neutral,2025-05-02,1
Reflected Ceiling Plan,0.94,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Hardscape Plan,High,2025-04-11,10
Furniture Layout Plan,0.6,Construction Documentation,Compile detailed construction drawings for city permit approval.,Lighting & Fixture Plan,Low,2025-04-30,9
3D Model,0.66,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Elevation Drawing,High,2025-05-08,7
Lighting & Fixture Plan,0.7,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Lighting & Fixture Plan,Low,2025-04-20,0
Reflected Ceiling Plan,0.68,Technical Specifications,Compile technical specifications for the construction phase.,Zoning & Building Code Compliance,Low,2025-05-06,4
Elevation Drawing,0.96,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Interior Layout Plan,High,2025-04-27,7
Floor Plan,0.74,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Interior Layout Plan,High,2025-04-13,7
3D Render,0.66,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Construction Document,High,2025-04-15,0
Interior Layout Plan,0.77,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Construction Document,High,2025-04-23,3
Zoning & Building Code Compliance,0.73,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Elevation Drawing,High,2025-04-28,3
Others,0.91,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Floor Plan,Neutral,2025-04-26,10
Reflected Ceiling Plan,0.91,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Finish Schedule,High,2025-04-28,6
3D Model,0.85,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Virtual Reality,High,2025-04-20,3
Elevation Drawing,0.89,Permit Drawing Submission,Prepare and submit permit drawings for approval.,3D Model,Low,2025-04-25,8
Section Drawing,0.89,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Door & Window Schedule,Neutral,2025-04-16,6
Finish Schedule,0.79,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Hardscape Plan,Low,2025-04-22,8
General Specification,0.78,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Zoning & Building Code Compliance,High,2025-05-04,2
General Specification,0.75,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,3D Render,Low,2025-04-19,6
Lighting & Fixture Plan,0.9,Structural Coordination,Coordinate with the structural engineer for beam placements.,3D Render,Neutral,2025-04-23,8
Construction Document,0.96,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Partition Plan,Low,2025-04-17,5
General Specification,0.61,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Lighting & Fixture Plan,Neutral,2025-05-05,2
Lighting & Fixture Plan,0.78,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Material Board,Low,2025-04-25,7
Permit Drawing,0.96,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Lighting & Fixture Plan,High,2025-04-27,3
Site Plan,0.79,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Roof Plan,High,2025-04-24,2
Roof Plan,0.71,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Virtual Reality,Neutral,2025-05-06,5
Schematic Design,0.69,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Design Development,Low,2025-05-09,10
Roof Plan,0.85,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Schematic Design,Neutral,2025-04-11,1
Lighting & Fixture Plan,0.63,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Elevation Drawing,High,2025-05-06,7
Elevation Drawing,0.88,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Elevation Drawing,High,2025-04-16,6
Elevation Drawing,0.89,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Zoning & Building Code Compliance,High,2025-05-07,1
Floor Plan,0.79,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Construction Document,High,2025-05-10,7
Elevation Drawing,0.9,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Hardscape Plan,High,2025-05-01,2
Construction Document,0.65,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Roof Plan,Neutral,2025-05-08,3
Others,0.94,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Furniture Layout Plan,Low,2025-05-02,4
Reflected Ceiling Plan,1.0,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Finish Schedule,Low,2025-05-02,6
Door & Window Schedule,0.95,Construction Documentation,Compile detailed construction drawings for city permit approval.,3D Render,Neutral,2025-05-04,6
Construction Document,0.75,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,3D Model,High,2025-05-04,5
3D Model,0.72,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Others,Low,2025-05-05,2
Floor Plan,0.9,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Hardscape Plan,High,2025-05-06,8
Conceptual Design,0.66,Structural Coordination,Coordinate with the structural engineer for beam placements.,Partition Plan,Neutral,2025-04-30,6
Lighting & Fixture Plan,0.92,Technical Specifications,Compile technical specifications for the construction phase.,General Specification,High,2025-04-24,9
Roof Plan,0.88,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Hardscape Plan,Low,2025-04-29,3
Finish Schedule,0.63,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Conceptual Design,Neutral,2025-05-03,5
Site Plan,0.8,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Hardscape Plan,High,2025-04-21,0
Zoning & Building Code Compliance,0.67,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Zoning & Building Code Compliance,Neutral,2025-04-13,7
Virtual Reality,0.99,Construction Documentation,Compile detailed construction drawings for city permit approval.,3D Render,Neutral,2025-04-25,4
Virtual Reality,0.85,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Schematic Design,High,2025-05-10,8
3D Render,0.91,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,3D Model,Low,2025-04-19,10
Lighting & Fixture Plan,0.72,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Design Development,High,2025-04-13,5
3D Render,0.99,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Others,Low,2025-05-09,1
Landscape Plan,0.84,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Technical Specification,Neutral,2025-04-28,2
Finish Schedule,0.82,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Finish Schedule,Neutral,2025-04-19,1
Reflected Ceiling Plan,0.8,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Furniture Layout Plan,Low,2025-04-25,2
